"date","time","long","lat"
2015-01-28,"15:31",-81.384819471,28.532445949
2015-01-28,"16:43",-81.383183716,28.535542911
2015-01-28,"17:15",-81.389187759,28.51519046
2015-01-28,"18:09",-81.3751987,28.580967275
2015-01-28,"19:00",-81.380547964,28.591868472
2015-01-29,"13:48",-81.385684334,28.527314109
2015-01-29,"15:11",-81.379274727,28.560862068
2015-01-29,"15:25",-81.375053782,28.582105282
2015-01-29,"16:00",-81.382319934,28.537095593
2015-01-30,"06:24",-81.375865743,28.573312914
2015-01-30,"10:10",-81.386382108,28.606576072
2015-01-30,"13:33",-81.38631392,28.523633968
2015-01-30,"23:50",-81.386296056,28.522951207
2015-01-31,"17:50",-81.416701897,28.508949292
2015-02-01,"02:30",-81.398269745,28.510779572
2015-02-01,"17:00",-81.382858903,28.53579803
2015-02-02,"00:52",-81.382700663,28.55016184
2015-02-02,"07:43",-81.382749891,28.536837657
2015-02-02,"12:43",-81.375061601,28.582846839
2015-02-02,"16:40",-81.3861119,28.522291115
2015-02-02,"17:34",-81.386578437,28.535464182
2015-02-03,"08:08",-81.414134545,28.509165329
2015-02-03,"17:50",-81.382468218,28.539905285
2015-02-03,"19:00",-81.382858903,28.53579803
2015-02-04,"05:46",-81.38233685,28.546613926
2015-02-04,"06:50",-81.386286392,28.521671234
2015-02-04,"06:53",-81.38628689,28.520204178
2015-02-04,"15:55",-81.3861119,28.522291115
2015-02-04,"17:25",-81.375243937,28.583947406
2015-02-05,"02:21",-81.396310672,28.51042607
2015-02-05,"08:25",-81.386100285,28.521098541
2015-02-05,"11:48",-81.382048025,28.541212595
2015-02-05,"12:15",-81.38769689,28.519773838
2015-02-05,"14:50",-81.383331557,28.534775325
2015-02-05,"15:00",-81.394766741,28.511339539
2015-02-05,"16:25",-81.39603722,28.510560214
2015-02-05,"23:20",-81.386104104,28.520545621
2015-02-06,"12:05",-81.378812638,28.561886036
2015-02-06,"16:31",-81.386893532,28.60634399
2015-02-06,"17:41",-81.393017587,28.512574166
2015-02-07,"12:28",-81.382426381,28.548954291
2015-02-07,"13:10",-81.382918694,28.536261215
2015-02-07,"14:20",-81.384677968,28.595153807
2015-02-09,"17:51",-81.385979226,28.605654999
2015-02-10,"07:28",-81.37500666,28.579894482
2015-02-10,"16:11",-81.418855214,28.507826332
2015-02-10,"17:25",-81.38228689,28.545553667
2015-02-11,"07:35",-81.38634199,28.530389478
2015-02-11,"15:10",-81.378912899,28.561735644
2015-02-11,"17:58",-81.375863958,28.572905771
2015-02-11,"19:40",-81.375863958,28.572905771
2015-02-12,"16:58",-81.419489162,28.509114139
2015-02-12,"17:05",-81.375848906,28.569721557
2015-02-12,"18:00",-81.400684903,28.509339906
2015-02-13,"13:32",-81.383321373,28.553226723
2015-02-14,"12:00",-81.375332565,28.586449054
2015-02-14,"12:46",-81.386325393,28.599438288
2015-02-14,"13:40",-81.378506741,28.590134727
2015-02-14,"14:16",-81.382530207,28.593554494
2015-02-14,"14:30",-81.378506741,28.590134727
2015-02-14,"18:58",-81.383125515,28.535694234
2015-02-15,"12:30",-81.386632498,28.608766825
2015-02-15,"12:52",-81.386306499,28.523314493
2015-02-15,"16:10",-81.382530928,28.538292075
2015-02-16,"15:57",-81.386165333,28.59913112
2015-02-16,"15:59",-81.38163749,28.592779414
2015-02-17,"12:02",-81.375699776,28.567188015
2015-02-17,"16:00",-81.382799862,28.536654256
2015-02-17,"16:45",-81.386396568,28.607128431
2015-02-17,"23:50",-81.375967548,28.58770807
2015-02-18,"02:50",-81.384427562,28.595190374
2015-02-18,"04:03",-81.37502513,28.580913389
2015-02-18,"06:28",-81.378415214,28.562472146
2015-02-18,"06:28",-81.37833669,28.562582884
2015-02-18,"08:35",-81.394028473,28.511852103
2015-02-18,"11:08",-81.386113307,28.52250922
2015-02-18,"14:59",-81.383036891,28.537940345
2015-02-18,"15:30",-81.386096459,28.606258978
2015-02-19,"08:22",-81.38238702,28.547820425
2015-02-19,"09:06",-81.39852225,28.509612243
2015-02-19,"09:09",-81.395954356,28.510607785
2015-02-19,"10:30",-81.398269745,28.510779572
2015-02-20,"07:32",-81.421241942,28.506746575
2015-02-20,"11:41",-81.386431855,28.608305769
2015-02-20,"12:10",-81.384438488,28.533007124
2015-02-20,"15:04",-81.399001887,28.509507165
2015-02-20,"15:31",-81.375663704,28.572844301
2015-02-20,"16:42",-81.398212602,28.51080848
2015-02-20,"17:00",-81.385971181,28.530351524
2015-02-20,"22:25",-81.386278149,28.521118956
2015-02-21,"05:03",-81.408450258,28.509649144
2015-02-21,"15:45",-81.387682358,28.520042632
2015-02-21,"18:40",-81.381128341,28.592770863
2015-02-21,"18:43",-81.378199668,28.562446675
2015-02-21,"19:25",-81.382436563,28.549361563
2015-02-21,"23:41",-81.38613827,28.525620918
2015-02-22,"09:06",-81.382300519,28.553667224
2015-02-22,"13:10",-81.375055179,28.582163423
2015-02-22,"15:33",-81.38195636,28.549272859
2015-02-22,"16:50",-81.38264032,28.537367514
2015-02-23,"07:45",-81.382962956,28.536135805
2015-02-23,"11:42",-81.38221322,28.547085108
2015-02-23,"15:33",-81.422389362,28.505529467
2015-02-23,"18:21",-81.382448191,28.540543913
2015-02-23,"18:55",-81.383767753,28.534041417
2015-02-23,"19:00",-81.382549117,28.546545291
2015-02-24,"06:35",-81.38529314,28.529246847
2015-02-24,"15:06",-81.379190086,28.56098685
2015-02-24,"19:00",-81.385766522,28.530933711
2015-02-24,"19:00",-81.385766522,28.530933711
2015-02-25,"07:30",-81.388829565,28.515446223
2015-02-25,"08:43",-81.381880963,28.539735997
2015-02-25,"11:21",-81.397869745,28.510981925
2015-02-25,"11:55",-81.387682358,28.520042632
2015-02-25,"16:44",-81.379956565,28.591363097
2015-02-25,"17:01",-81.375655555,28.571040068
2015-02-25,"19:17",-81.377606014,28.563635879
2015-02-25,"19:20",-81.383793615,28.534004175
2015-02-25,"19:25",-81.382743804,28.536866353
2015-02-26,"07:20",-81.378476287,28.562386016
2015-02-26,"08:03",-81.382429654,28.5490852
2015-02-26,"09:04",-81.386112462,28.522378357
2015-02-26,"09:49",-81.418435497,28.507989219
2015-02-26,"19:40",-81.386151692,28.526726493
2015-02-27,"14:36",-81.400684903,28.509339906
2015-02-27,"15:30",-81.397432773,28.509939705
2015-02-27,"16:13",-81.397941174,28.510945791
2015-02-27,"16:33",-81.386154062,28.526944502
2015-02-27,"17:25",-81.375856655,28.571248125
2015-02-28,"00:01",-81.38195636,28.549272859
2015-02-28,"11:10",-81.383009352,28.535997273
2015-02-28,"11:50",-81.375848242,28.569590709
2015-02-28,"12:30",-81.381922253,28.555007384
2015-02-28,"13:40",-81.381925754,28.53848852
2015-02-28,"14:20",-81.396470305,28.511515044
2015-02-28,"14:28",-81.386874761,28.607698319
2015-02-28,"14:30",-81.386595423,28.607139073
2015-02-28,"15:41",-81.380694336,28.558521587
2015-02-28,"17:45",-81.375850308,28.569997794
2015-02-28,"19:08",-81.386154694,28.527002638
2015-02-28,"23:27",-81.382858903,28.53579803
2015-02-28,"23:35",-81.38612088,28.529212949
2015-03-01,"01:25",-81.37565936,28.567607878
2015-03-01,"13:25",-81.386882135,28.606885336
2015-03-01,"15:00",-81.376121171,28.566171811
2015-03-01,"17:50",-81.420531092,28.507907824
2015-03-01,"22:39",-81.37565334,28.568058896
2015-03-02,"08:25",-81.388714915,28.515529344
2015-03-02,"12:01",-81.382694805,28.536179463
2015-03-02,"15:20",-81.381446269,28.556685444
2015-03-02,"16:48",-81.38581795,28.59659758
2015-03-02,"18:58",-81.386376608,28.527937034
2015-03-02,"19:37",-81.38331564,28.535244479
2015-03-02,"20:25",-81.38615689,28.527919227
2015-03-03,"06:29",-81.383603464,28.593969807
2015-03-03,"08:35",-81.384677776,28.531580355
2015-03-03,"10:05",-81.374712687,28.582184064
2015-03-03,"16:40",-81.398398316,28.51071453
2015-03-03,"16:49",-81.385989383,28.605396007
2015-03-03,"17:48",-81.382106787,28.541630356
2015-03-04,"01:08",-81.375864532,28.573036638
2015-03-04,"05:42",-81.380607923,28.591918351
2015-03-04,"08:43",-81.388943833,28.515592879
2015-03-04,"12:55",-81.386151692,28.526726493
2015-03-05,"07:29",-81.381938738,28.540329958
2015-03-05,"11:15",-81.375018491,28.580637219
2015-03-05,"11:21",-81.374994449,28.579357188
2015-03-05,"11:38",-81.381857846,28.539315202
2015-03-05,"12:07",-81.400060636,28.509375915
2015-03-05,"13:10",-81.398141173,28.510844614
2015-03-05,"16:30",-81.383803626,28.536306967
2015-03-05,"17:28",-81.375851711,28.57027403
2015-03-05,"20:36",-81.386154694,28.527002638
2015-03-06,"13:40",-81.375852934,28.574401925
2015-03-06,"14:08",-81.38245637,28.540224954
2015-03-06,"15:41",-81.38628227,28.521395095
2015-03-06,"16:45",-81.397941174,28.510945791
2015-03-06,"17:03",-81.383473326,28.534528665
2015-03-06,"21:50",-81.397941174,28.510945791
2015-03-07,"14:31",-81.375850308,28.569997794
2015-03-07,"16:51",-81.389435586,28.515021801
2015-03-07,"21:52",-81.386107772,28.521651341
2015-03-08,"11:09",-81.396972906,28.511376423
2015-03-08,"12:35",-81.389663984,28.515084699
2015-03-08,"21:10",-81.401089839,28.509661611
2015-03-09,"07:15",-81.383819477,28.533966934
2015-03-09,"14:36",-81.386797665,28.536304658
2015-03-09,"15:14",-81.387226753,28.53021096
2015-03-09,"18:13",-81.399261733,28.510290215
2015-03-09,"18:18",-81.386098221,28.520822092
2015-03-10,"08:39",-81.39685869,28.510159418
2015-03-10,"13:12",-81.382746476,28.53605661
2015-03-10,"15:50",-81.382456787,28.549797475
2015-03-10,"16:25",-81.419537388,28.508501188
2015-03-10,"17:20",-81.385958341,28.526826374
2015-03-11,"07:50",-81.38118028,28.556950955
2015-03-11,"08:55",-81.38333372,28.593674121
2015-03-11,"16:45",-81.385958341,28.526826374
2015-03-11,"18:34",-81.37565936,28.567607878
2015-03-12,"10:06",-81.398269745,28.510779572
2015-03-12,"11:59",-81.40223225,28.509324668
2015-03-12,"12:34",-81.383371839,28.535123936
2015-03-12,"12:47",-81.398469744,28.510678395
2015-03-12,"13:25",-81.384954196,28.595403361
2015-03-12,"15:18",-81.386354503,28.600193621
2015-03-12,"16:06",-81.413569161,28.509644666
2015-03-13,"02:58",-81.38311465,28.536285903
2015-03-13,"13:35",-81.381406721,28.556826687
2015-03-13,"18:10",-81.386098221,28.520822092
2015-03-13,"19:54",-81.375062272,28.582934087
2015-03-13,"21:58",-81.382858903,28.53579803
2015-03-14,"09:40",-81.382250352,28.553198628
2015-03-14,"11:35",-81.375967548,28.58770807
2015-03-14,"14:25",-81.382986275,28.536066504
2015-03-14,"17:00",-81.424565593,28.503117943
2015-03-14,"22:27",-81.375066522,28.58348666
2015-03-15,"06:12",-81.382962956,28.536135805
2015-03-16,"07:48",-81.38197576,28.538216085
2015-03-16,"16:56",-81.420956323,28.506987247
2015-03-16,"17:57",-81.377606014,28.563635879
2015-03-16,"19:00",-81.386147743,28.526363144
2015-03-17,"08:05",-81.375850308,28.569997794
2015-03-17,"13:59",-81.396051212,28.510552556
2015-03-17,"14:01",-81.396051212,28.510552556
2015-03-17,"16:27",-81.416297557,28.509018714
2015-03-18,"08:32",-81.39364433,28.512126491
2015-03-18,"09:16",-81.385750953,28.519424282
2015-03-18,"14:33",-81.386058067,28.529951718
2015-03-18,"15:07",-81.423208825,28.504599759
2015-03-18,"16:22",-81.390428588,28.514349123
2015-03-18,"16:38",-81.375858473,28.571655261
2015-03-18,"18:51",-81.381107983,28.55720492
2015-03-18,"20:54",-81.382535623,28.538219305
2015-03-19,"14:29",-81.383324821,28.55321293
2015-03-19,"14:58",-81.386383601,28.528474717
2015-03-19,"16:00",-81.385917506,28.530549398
2015-03-19,"16:37",-81.421612388,28.506394956
2015-03-19,"19:00",-81.385958341,28.526826374
